Node,Type,Degree,Degree Centrality,Eigenvector Centrality
5QYvM,follower,3,0.003436426116838488,0.0043587768649410545
lZ86Rql,follower,1,0.001145475372279496,0.0020988116015772133
KEwZw,follower,1,0.001145475372279496,0.0020988116015772133
R9A8g,follower,8,0.009163802978235968,0.01513106292931813
n3xRZ,follower,2,0.002290950744558992,0.004086988983980634
B0yxY,follower,3,0.003436426116838488,0.005800850813207943
OgB6z,follower,1,0.001145475372279496,0.0020988116015772133
x514X,follower,1,0.001145475372279496,0.0020988116015772133
9pYK90,follower,1,0.001145475372279496,0.0020988116015772133
D2X6K,follower,6,0.006872852233676976,0.009933392016977571
Q4BbG,follower,2,0.002290950744558992,0.00395936793999081
eb7yn,follower,1,0.001145475372279496,0.0020988116015772133
pzk2K,follower,1,0.001145475372279496,0.0020988116015772133
eJbde,follower,1,0.001145475372279496,0.0020988116015772133
ePZRL,follower,5,0.00572737686139748,0.013857903822923616
LKK4w,follower,3,0.003436426116838488,0.008396488182406708
nlz4K,follower,2,0.002290950744558992,0.005613988441850753
n0Owm,follower,2,0.002290950744558992,0.005613988441850753
RK0Kl4g,follower,1,0.001145475372279496,0.0033295010029310884
lzpN6,follower,5,0.00572737686139748,0.01120055993740198
v7O9O,follower,7,0.008018327605956473,0.010907427000074799
DNg5Z,follower,1,0.001145475372279496,0.0008607563571462538
NzQB0,follower,5,0.00572737686139748,0.008786869309469517
JEvgd,follower,1,0.001145475372279496,0.0008607563571462538
9RBKw,follower,1,0.001145475372279496,0.0008607563571462538
Dr1a8,follower,3,0.003436426116838488,0.004583840944075689
y2dyx,follower,6,0.006872852233676976,0.007728829259318177
YJAyy,follower,8,0.009163802978235968,0.010028340391880039
RY56g,follower,2,0.002290950744558992,0.0025956635616722684
79l3q,follower,4,0.004581901489117984,0.004955450426350482
WaYAv,follower,3,0.003436426116838488,0.0033639773370403954
ePQV7,follower,4,0.004581901489117984,0.004941596198350824
DXdZy,follower,1,0.001145475372279496,0.0008607563571462538
naZ7a,follower,1,0.001145475372279496,0.0008607563571462538
e4K7j,follower,1,0.001145475372279496,0.0008607563571462538
lzxgK,follower,1,0.001145475372279496,0.0008607563571462538
ogy5R,follower,2,0.002290950744558992,0.0018507751995254504
y8PZP,follower,3,0.003436426116838488,0.003442248288835537
KKqEl,follower,1,0.001145475372279496,0.0008607563571462538
AA9Q7,follower,1,0.001145475372279496,0.0008607563571462538
r4y2N,follower,1,0.001145475372279496,0.0008607563571462538
nd67m,follower,1,0.001145475372279496,0.0008607563571462538
ndG30,follower,1,0.001145475372279496,0.0008607563571462538
LW2Aj,follower,1,0.001145475372279496,0.0008607563571462538
2zG7Z,follower,1,0.001145475372279496,0.0008607563571462538
Ma27o,follower,1,0.001145475372279496,0.0008607563571462538
OWX24,follower,1,0.001145475372279496,0.0008607563571462538
D9pZ2,follower,1,0.001145475372279496,0.0008607563571462538
ngRP2,follower,1,0.001145475372279496,0.0008607563571462538
DvVyV,follower,2,0.002290950744558992,0.000992824329278473
d0bgP,follower,1,0.001145475372279496,0.0008607563571462538
NkK7G27,follower,2,0.002290950744558992,0.0010514291093338022
912Vab2,follower,1,0.001145475372279496,0.0008607563571462538
95PaA,follower,1,0.001145475372279496,0.0008607563571462538
qZRPY3Y,follower,1,0.001145475372279496,0.0018605563384135962
ELKzn,follower,7,0.008018327605956473,0.01080357097036682
074GV,follower,3,0.003436426116838488,0.006194859138148387
pnagD,follower,2,0.002290950744558992,0.0038487337208170163
0MMZ6,follower,8,0.009163802978235968,0.012052924063167497
nV4bD,follower,4,0.004581901489117984,0.005799993346348028
lzJ9l,follower,3,0.003436426116838488,0.0038497706129881314
ezEXw,follower,2,0.002290950744558992,0.0034520294277236825
GYZMm,follower,1,0.001145475372279496,0.0018605563384135962
Q4M93,follower,1,0.001145475372279496,0.0003733656744165119
854x3Zl,follower,1,0.001145475372279496,0.0003733656744165119
lavBzEK,follower,5,0.00572737686139748,0.0019165579127491924
aGJ5Aa,follower,1,0.001145475372279496,0.0003733656744165119
WxwRNQo,follower,1,0.001145475372279496,0.0003733656744165119
7ladp7A,follower,4,0.004581901489117984,0.0016062038816537425
v74VqYm,follower,1,0.001145475372279496,0.0003733656744165119
07Xzdd5,follower,2,0.002290950744558992,0.0006446277921505998
ml1q8Q5,follower,1,0.001145475372279496,0.0003733656744165119
jvzbVl4,follower,1,0.001145475372279496,0.0003733656744165119
QNqNWOV,follower,1,0.001145475372279496,0.0003733656744165119
7PPPXvj,follower,1,0.001145475372279496,0.0003733656744165119
BVvolx,follower,1,0.001145475372279496,0.0003733656744165119
3ayQxB,follower,2,0.002290950744558992,0.0006446277921505998
3J0Ol5Z,follower,1,0.001145475372279496,0.0003733656744165119
D7Mgn,follower,2,0.002290950744558992,0.005223583772141102
DBaRj,follower,2,0.002290950744558992,0.005223583772141102
Nzazp,follower,1,0.001145475372279496,0.002782499740555956
D9Rlw,follower,1,0.001145475372279496,0.002782499740555956
3BP7M,follower,2,0.002290950744558992,0.004203400663609576
nlZNZ,follower,3,0.003436426116838488,0.009348267013677483
GEErv,follower,1,0.001145475372279496,0.00012447817423322856
E7N8r,follower,1,0.001145475372279496,0.00234612541733137
D9Mga,follower,1,0.001145475372279496,0.00234612541733137
vYGKJg8,follower,1,0.001145475372279496,0.00234612541733137
LRwKj,follower,1,0.001145475372279496,0.00234612541733137
lZOdO,follower,3,0.003436426116838488,0.0049207643724106555
MWpwWPo,follower,1,0.001145475372279496,0.0016890556316749307
1AjYRd5,follower,2,0.002290950744558992,0.0026790744740541267
p08XX,follower,1,0.001145475372279496,0.0016890556316749307
1EGYY,follower,7,0.008018327605956473,0.010500587454754766
MwVOQ,follower,1,0.001145475372279496,0.0016890556316749307
Vvrxb,follower,3,0.003436426116838488,0.004120540168535815
g6rENXZ,follower,1,0.001145475372279496,0.0016890556316749307
7OEg9,follower,2,0.002290950744558992,0.003130521326156619
dE0R2,follower,5,0.00572737686139748,0.0066031963770018885
ePgRD,follower,3,0.003436426116838488,0.004422251315007919
eYZmn,follower,2,0.002290950744558992,0.0032805287209850174
0dBGM,follower,1,0.001145475372279496,0.0016890556316749307
DXl7J,follower,1,0.001145475372279496,0.0016890556316749307
ml312,follower,1,0.001145475372279496,0.0016890556316749307
2lp1Z,follower,5,0.00572737686139748,0.011500184275026594
eAAV7,follower,1,0.001145475372279496,0.0010794274337232153
KEovd2w,follower,1,0.001145475372279496,0.0010794274337232153
Q4p0G,follower,2,0.002290950744558992,0.0012838130495972688
D99PG,follower,1,0.001145475372279496,0.0010794274337232153
GY2mGoG,follower,1,0.001145475372279496,0.0010794274337232153
92gjbwA,follower,7,0.008018327605956473,0.004872008796491808
RKEgOOR,follower,1,0.001145475372279496,0.0010794274337232153
qZVm3ba,follower,1,0.001145475372279496,0.0010794274337232153
VK1Kg8W,follower,1,0.001145475372279496,0.0010794274337232153
2z8amPp,follower,1,0.001145475372279496,0.0010794274337232153
x5l02,follower,1,0.001145475372279496,0.0028161498754557365
k46dB,follower,2,0.002290950744558992,0.005032733472904239
6YGQ8vQ,follower,1,0.001145475372279496,0.0002043856158740534
Np88gN,follower,2,0.002290950744558992,0.0007888074303699787
dpZPXjm,follower,2,0.002290950744558992,0.00040187632879527265
la5bZ,follower,1,0.001145475372279496,0.0008397317505532706
Vv7ZB,follower,2,0.002290950744558992,0.0021314617394045713
D7J9P,follower,1,0.001145475372279496,0.0008397317505532706
vZa7O,follower,1,0.001145475372279496,0.0008397317505532706
3O2r8,follower,1,0.001145475372279496,0.0008397317505532706
